Employee ID,Name,Phone Number,Address,Date of Birth,Join Date,Login Time,Logout Time,Break Time,Leave (Company),Leave (Own),Attendance Track,Productivity %,Salary,Bonus
EMP0034,Guillaume Korting,08-239-3825,"456 Oak St, Shelbyville",03-07-1979,08-02-2022,10:07,17:59,01:36,1,None,16/30,51.51,57059,1452
EMP0035,Silva Blackwell,72-988-8337,"456 Oak St, Shelbyville",18-04-1999,01-03-2009,08:10,18:27,02:28,2,Full Day,25/30,81.74,91989,1133
EMP0036,Paddie Longson,68-782-8136,"202 Cedar St, North Haverbrook",05-09-1990,04-04-2016,09:00,19:34,00:00,0,None,27/30,66.38,86356,3538
EMP0037,Starlene Hains,66-698-7088,"456 Oak St, Shelbyville",29-07-1984,02-04-2016,08:12,19:09,01:52,3,Full Day,27/30,76.32,80005,3456
EMP0038,Alta Lawrie,87-391-8645,"202 Cedar St, North Haverbrook",12-02-1995,26-03-2009,08:44,18:31,01:37,0,Half Day,22/30,80.07,45303,1480
EMP0039,Jacquetta Pedgrift,82-911-6376,"123 Elm St, Springfield",17-07-1998,03-07-2010,10:12,16:56,01:32,4,Half Day,30/30,84.19,51198,3180
EMP0040,Regen Schuricke,98-210-6743,"123 Elm St, Springfield",01-04-1993,05-08-2023,08:21,20:10,00:32,1,None,30/30,99.79,78265,4016
EMP0041,Izaak Eldershaw,36-880-3395,"789 Maple St, Capital City",09-07-1978,02-05-2005,10:35,16:29,01:00,2,Half Day,26/30,99.93,64046,4320
EMP0042,Stefa Chastelain,32-975-9950,"456 Oak St, Shelbyville",16-01-1987,23-12-2006,09:01,19:37,01:57,2,Full Day,24/30,75.98,72936,2146
EMP0043,Midge Rack,82-323-5512,"202 Cedar St, North Haverbrook",03-05-1984,08-01-2013,07:10,20:33,00:28,3,Full Day,28/30,84.84,85484,1525
EMP0044,Cornall Scorthorne,78-661-2146,"101 Pine St, Ogdenville",24-04-1979,20-08-2023,08:49,18:05,01:31,0,Full Day,16/30,93.26,94261,3746
EMP0045,Godfry Bennedsen,69-165-8662,"101 Pine St, Ogdenville",28-04-1982,01-08-2017,10:06,20:52,00:09,1,None,21/30,57.57,86356,3269
EMP0046,Goraud Lindenstrauss,55-304-0859,"101 Pine St, Ogdenville",11-02-1993,28-09-2011,10:38,20:07,01:23,5,Half Day,18/30,52.48,53417,2759
EMP0047,Danell Labro,85-445-5628,"202 Cedar St, North Haverbrook",25-01-1976,15-06-2021,07:50,19:05,00:28,4,None,27/30,74.82,55621,4237
EMP0048,Theo Methingam,79-942-9537,"123 Elm St, Springfield",30-01-1976,18-05-2016,10:56,19:19,02:55,3,None,16/30,66.71,55037,4881
EMP0049,Alison McVittie,26-038-0911,"101 Pine St, Ogdenville",15-09-1977,01-06-2012,10:24,20:32,01:09,0,Full Day,17/30,94.45,47460,2432
EMP0050,Gunther Carnachen,98-680-8832,"123 Elm St, Springfield",27-07-1987,01-06-2005,07:35,19:36,02:54,5,Half Day,22/30,76.42,83777,4121
EMP0051,Tamra O' Reagan,12-425-1588,"456 Oak St, Shelbyville",17-05-1979,14-09-2011,09:51,19:10,00:18,0,None,18/30,52.33,73480,2569
EMP0052,Gustave Wimbush,94-135-5556,"456 Oak St, Shelbyville",02-09-1983,12-05-2010,08:08,18:31,02:13,2,None,30/30,66.11,41500,1994
EMP0053,Clint Fawthorpe,47-204-8041,"101 Pine St, Ogdenville",30-03-1990,21-02-2012,08:23,18:46,00:20,0,Half Day,29/30,91.92,40231,1065
EMP0054,Evita Balogh,59-996-9742,"789 Maple St, Capital City",22-04-1992,07-09-2011,09:18,19:36,01:51,4,Half Day,30/30,72.44,48179,3233
EMP0055,Sasha Docherty,31-745-0373,"202 Cedar St, North Haverbrook",03-08-1970,23-05-2012,09:14,16:29,00:04,2,Half Day,17/30,64.24,80184,4630
EMP0056,Chrissy Pascho,44-484-3808,"789 Maple St, Capital City",11-11-1976,21-03-2024,10:52,18:41,00:17,1,Full Day,27/30,64.57,51383,2814
EMP0057,Benjie Cornuau,31-233-4845,"101 Pine St, Ogdenville",27-03-1982,16-02-2017,10:46,17:45,02:29,3,Half Day,22/30,75.55,45504,4270
EMP0058,Kylynn Purle,68-909-3918,"101 Pine St, Ogdenville",10-08-1987,17-05-2017,10:26,18:27,00:04,5,Full Day,18/30,57.38,67690,3878
EMP0059,Karlene Regan,40-587-0175,"202 Cedar St, North Haverbrook",05-04-1995,04-11-2006,09:49,16:08,01:58,1,None,17/30,83.83,92359,1905
EMP0060,Gui Mougeot,36-270-6369,"101 Pine St, Ogdenville",27-12-1986,17-03-2022,09:59,16:25,02:19,3,Half Day,25/30,90.81,70426,3091
EMP0061,Helen-elizabeth Fahy,15-737-1893,"789 Maple St, Capital City",25-11-1977,12-04-2023,09:38,17:19,01:37,3,Half Day,28/30,86.96,58195,1490
EMP0062,Clarence Stimpson,92-391-6514,"101 Pine St, Ogdenville",04-11-1975,28-03-2021,09:40,17:03,02:37,1,Half Day,21/30,95.66,83648,4841
EMP0063,Gus Beavis,05-319-8158,"456 Oak St, Shelbyville",10-03-1986,20-11-2006,08:38,20:03,02:09,2,None,29/30,74.93,92832,2214
EMP0064,Neill Meach,92-079-6125,"101 Pine St, Ogdenville",19-09-1975,17-06-2022,07:16,20:55,02:04,5,None,19/30,75.51,49366,2629
EMP0065,Hyacinth Inskipp,40-355-5515,"789 Maple St, Capital City",11-05-1974,17-12-2009,09:27,16:11,02:57,2,Half Day,28/30,69.74,82398,2013
EMP0066,Petey Kira,48-935-9953,"123 Elm St, Springfield",22-04-2000,14-03-2020,09:34,19:41,01:07,4,None,18/30,59.49,98161,2337
EMP0067,Morty Wildash,54-023-6866,"202 Cedar St, North Haverbrook",19-12-1984,03-08-2012,09:16,18:53,00:30,2,None,21/30,70.45,57654,3272
EMP0068,Alyssa Tuohy,08-981-1636,"789 Maple St, Capital City",18-05-1992,02-01-2013,10:29,20:33,02:50,4,None,30/30,89.44,51709,3212
EMP0069,Fredrick Langland,75-435-1426,"789 Maple St, Capital City",01-01-1999,22-10-2016,09:19,18:14,00:38,4,Full Day,29/30,62.3,84287,4815
EMP0070,Jen Kort,17-120-0529,"456 Oak St, Shelbyville",05-06-1984,23-07-2009,07:34,20:15,01:32,2,Half Day,17/30,54.89,45164,4966
EMP0071,Symon Collingdon,38-865-6114,"456 Oak St, Shelbyville",19-01-1977,03-09-2024,09:41,18:33,01:31,4,Half Day,27/30,50.59,71211,3653
EMP0072,Emery Wyness,28-195-7270,"202 Cedar St, North Haverbrook",27-09-1977,19-09-2021,07:01,19:20,02:00,4,None,19/30,68.98,79478,2914
EMP0073,Rhianon Carlile,97-075-3631,"202 Cedar St, North Haverbrook",05-10-1981,03-03-2016,09:42,17:12,00:02,5,None,25/30,62.5,98081,4156
EMP0074,Ignatius Tuffley,04-505-4807,"789 Maple St, Capital City",09-10-1987,13-11-2021,09:34,18:08,02:57,2,None,18/30,87.44,43593,1789
EMP0075,Felecia Palfree,65-204-8592,"789 Maple St, Capital City",07-08-1972,11-05-2019,08:19,18:08,02:33,2,Half Day,30/30,58.85,88689,2642
EMP0076,Tris Alexander,67-778-5081,"123 Elm St, Springfield",22-11-1986,01-06-2021,10:31,17:54,02:24,2,Full Day,30/30,93.3,47754,1126
EMP0077,Cathlene Markushkin,90-215-9313,"456 Oak St, Shelbyville",15-09-1976,15-10-2019,07:41,18:59,02:55,5,Half Day,25/30,88.49,57433,4551
EMP0078,Leanna Badrick,81-609-4752,"202 Cedar St, North Haverbrook",01-01-1977,29-10-2017,10:58,17:36,02:06,5,Full Day,17/30,71.05,63225,2545
EMP0079,Ron Bolduc,59-546-5577,"456 Oak St, Shelbyville",01-01-1999,18-03-2008,07:55,18:53,00:45,1,Half Day,29/30,94.52,85752,3345
EMP0080,Chaim Munnery,50-104-9714,"202 Cedar St, North Haverbrook",01-11-1978,23-01-2012,09:19,20:52,00:53,1,Half Day,17/30,78.76,55612,2204
EMP0081,Roxine Claasen,23-362-8406,"789 Maple St, Capital City",05-07-1995,21-04-2010,09:30,19:32,02:04,2,Full Day,26/30,74.23,85962,1438
EMP0082,Janela Laffranconi,48-380-0434,"456 Oak St, Shelbyville",16-05-1999,28-12-2016,07:50,16:57,00:00,0,None,20/30,90.31,64299,4310
EMP0083,Ranee Lower,91-184-7573,"101 Pine St, Ogdenville",23-07-1981,03-01-2014,08:44,18:18,02:45,4,Half Day,19/30,92.43,98214,2692
EMP0084,Kelcy Lambis,32-587-6944,"789 Maple St, Capital City",14-09-1999,30-06-2015,08:22,18:40,01:20,1,Half Day,16/30,62.67,66961,4338
EMP0085,Robbie Dubery,99-841-2706,"789 Maple St, Capital City",18-06-1999,01-12-2020,09:02,16:34,00:13,5,Full Day,28/30,80.31,42660,1665
EMP0086,Onfroi Schimoni,60-237-4052,"789 Maple St, Capital City",23-08-1971,03-03-2016,10:45,20:32,00:31,5,Half Day,17/30,88.09,79755,2957
EMP0087,Alane Bigadike,43-799-4861,"202 Cedar St, North Haverbrook",18-10-1975,05-07-2014,10:43,19:55,00:50,3,Half Day,27/30,85.87,42169,1835
EMP0088,Boony Boucher,06-586-1080,"123 Elm St, Springfield",01-05-1982,02-07-2017,07:40,16:56,00:39,0,None,25/30,79.01,72941,1285
EMP0089,Georgie Witter,89-945-1632,"789 Maple St, Capital City",24-07-1979,26-05-2011,07:54,16:52,01:39,1,Half Day,21/30,91.08,85817,2945
EMP0090,Sylvester Sapir,34-902-9761,"101 Pine St, Ogdenville",05-12-1985,21-03-2015,10:13,20:45,02:59,5,None,24/30,51.11,71503,3161
EMP0091,Milissent Rubinek,27-400-6843,"202 Cedar St, North Haverbrook",10-08-1984,29-01-2013,08:09,18:50,00:02,2,Half Day,25/30,91.82,48975,4063
EMP0092,Aland Agronski,09-489-3048,"202 Cedar St, North Haverbrook",12-04-1993,05-09-2018,10:23,18:23,02:58,0,None,28/30,60.84,67966,4825
EMP0093,Marline Klezmski,90-694-9867,"202 Cedar St, North Haverbrook",22-11-1984,17-06-2018,09:05,16:50,00:37,0,Full Day,24/30,77.52,49640,3291
EMP0094,Sal Rubinlicht,85-439-3680,"456 Oak St, Shelbyville",08-10-1989,15-05-2017,08:25,20:55,00:49,0,Half Day,30/30,66.44,83958,4237
EMP0095,Alexina Esseby,79-162-5426,"789 Maple St, Capital City",13-12-1995,12-06-2016,08:31,17:21,00:50,3,None,21/30,95.57,74060,1515
EMP0096,Latrena Vasilyev,50-301-2961,"123 Elm St, Springfield",15-07-1996,14-08-2015,09:10,20:08,00:59,3,None,19/30,73.88,94250,1460
EMP0097,Lilias Pretti,11-523-4134,"789 Maple St, Capital City",03-11-1976,09-11-2017,07:09,19:37,00:16,1,Half Day,25/30,75.84,98762,2982
EMP0098,Torry Deppen,03-698-0932,"202 Cedar St, North Haverbrook",24-01-1975,01-07-2009,10:37,16:06,02:03,1,Full Day,16/30,50.41,72862,2109
EMP0099,Adara Shoobridge,48-683-7788,"123 Elm St, Springfield",23-09-1974,25-05-2015,10:05,17:25,00:59,3,None,25/30,98.94,64468,4033
EMP0100,Dermot Hartfield,22-376-3805,"789 Maple St, Capital City",13-11-1991,28-01-2024,08:28,16:37,02:03,2,Full Day,18/30,78.07,46122,3779
EMP0101,Reuben Katte,53-345-0437,"101 Pine St, Ogdenville",20-02-1970,16-09-2009,09:49,18:24,01:41,5,None,24/30,80.81,51772,3349
EMP0102,Garry Drohan,24-783-0609,"101 Pine St, Ogdenville",13-07-1983,03-10-2013,07:12,17:31,01:33,0,Half Day,26/30,80.26,58690,2174
EMP0103,Fara Whitnall,30-710-3140,"101 Pine St, Ogdenville",22-05-1980,06-11-2013,08:25,19:44,02:15,2,Full Day,19/30,80.04,95459,2446
EMP0104,Brittani Duffyn,47-489-0611,"123 Elm St, Springfield",21-10-1989,08-11-2006,09:21,20:11,01:19,3,Full Day,22/30,91.59,79384,1990
EMP0105,Berri Ramalhete,87-714-6664,"456 Oak St, Shelbyville",15-07-1993,18-12-2019,09:09,16:54,02:21,2,Half Day,21/30,58.03,54210,4507
EMP0106,Abram Lilloe,85-462-7957,"202 Cedar St, North Haverbrook",04-11-1993,29-04-2021,07:38,20:39,01:39,0,Full Day,29/30,91.38,75180,2552
EMP0107,Myer Tesdale,15-510-0465,"789 Maple St, Capital City",20-06-1978,25-10-2024,09:03,16:57,00:30,0,Half Day,18/30,83.87,42560,2158
EMP0108,Sileas Doe,29-883-2686,"202 Cedar St, North Haverbrook",30-05-2000,30-10-2015,08:47,17:01,01:01,1,Full Day,26/30,64.22,86425,3507
EMP0109,Caye Jocic,25-644-8286,"101 Pine St, Ogdenville",02-11-2000,22-07-2011,08:48,19:20,00:55,5,None,17/30,65.28,60322,3062
EMP0110,Blinni Levesley,39-922-3341,"789 Maple St, Capital City",08-03-1976,22-09-2017,07:19,17:55,00:32,5,Full Day,25/30,94.85,49457,4149
EMP0111,Neilla Estcourt,04-685-1152,"202 Cedar St, North Haverbrook",04-10-1971,03-07-2012,09:19,19:44,02:38,4,Full Day,23/30,67.56,45715,3659
EMP0112,Brittne Mattersey,98-128-6707,"123 Elm St, Springfield",02-04-1973,05-12-2011,09:29,19:49,00:43,3,Full Day,27/30,86.84,85797,3272
EMP0113,Ashien Strudwick,62-993-4875,"101 Pine St, Ogdenville",12-08-1996,21-04-2010,07:50,16:15,02:57,0,None,27/30,84.66,84667,2674
EMP0114,Paul Darbey,99-110-0018,"123 Elm St, Springfield",15-03-1985,03-04-2017,08:05,16:55,00:42,4,Half Day,25/30,84.15,53681,4422
EMP0115,Cirillo Queyos,73-984-0375,"456 Oak St, Shelbyville",08-09-1992,12-11-2010,08:35,17:27,00:26,2,Half Day,21/30,66.93,55579,3316
EMP0116,Nelle Castaneda,56-914-0888,"789 Maple St, Capital City",27-01-1988,20-10-2010,09:04,19:24,01:45,4,Half Day,21/30,83.68,58504,4440
EMP0117,Tiena Tregunna,70-729-8978,"789 Maple St, Capital City",13-11-1984,08-11-2024,10:42,16:09,02:36,3,Full Day,22/30,63.79,88289,2337
EMP0118,Avrit Edghinn,21-688-4320,"123 Elm St, Springfield",27-01-1983,11-02-2014,09:37,20:27,01:41,3,Full Day,15/30,56.29,48133,3628
EMP0119,Leigha Presdie,35-844-5596,"202 Cedar St, North Haverbrook",12-07-1978,08-05-2013,10:51,20:35,00:44,4,Full Day,22/30,92.94,95633,4348
EMP0120,Jules Davenall,19-858-2233,"789 Maple St, Capital City",12-12-1983,20-02-2017,08:10,19:55,01:09,5,Half Day,30/30,87.46,85072,4187
EMP0121,Ozzy Stendell,95-934-8266,"101 Pine St, Ogdenville",03-07-1975,01-06-2006,09:34,18:28,02:33,2,None,25/30,59.76,87032,2873
EMP0122,Fredi Frany,35-714-2363,"456 Oak St, Shelbyville",12-06-1998,27-04-2006,08:29,19:33,01:02,3,None,27/30,61.09,46021,3382
EMP0123,Liza Hurrell,17-699-5590,"101 Pine St, Ogdenville",06-08-1990,18-08-2020,10:24,20:05,02:34,2,Full Day,28/30,82.99,58523,4555
EMP0124,Murray Reboul,53-617-7871,"101 Pine St, Ogdenville",19-06-1984,10-02-2024,08:05,19:49,00:03,2,Full Day,17/30,79.28,53735,2193
EMP0125,Felecia Sandlin,51-012-1886,"101 Pine St, Ogdenville",05-06-1998,07-05-2017,10:38,19:36,00:21,2,Full Day,28/30,52.53,62390,3470
EMP0126,Consolata Ruprecht,61-699-9798,"789 Maple St, Capital City",03-10-1988,03-08-2024,10:44,16:04,00:06,4,None,15/30,77.83,40662,4619
EMP0127,Yul Kerkham,70-016-1129,"202 Cedar St, North Haverbrook",14-07-1998,19-03-2012,08:29,17:22,01:22,4,None,29/30,67.72,54360,4939
EMP0128,Veradis de Broke,91-378-6330,"123 Elm St, Springfield",21-09-1975,03-09-2017,10:09,17:20,01:49,2,Half Day,19/30,74.41,65963,3966
EMP0129,Brande Griffiths,82-232-4297,"789 Maple St, Capital City",11-04-1978,27-01-2019,10:10,18:10,02:42,5,Half Day,25/30,76.3,48262,3326
EMP0130,Martyn Haldene,69-678-8085,"101 Pine St, Ogdenville",29-07-1989,22-04-2013,10:06,16:31,00:32,1,Half Day,29/30,68.95,56709,1768
EMP0131,Marthena Bridle,50-877-9357,"123 Elm St, Springfield",06-01-1976,11-02-2012,08:35,18:18,01:03,2,Full Day,22/30,64.88,71429,4348
EMP0132,Burg Walework,48-404-9133,"789 Maple St, Capital City",12-09-1993,15-06-2009,10:49,19:30,02:19,2,Full Day,28/30,66.17,85236,4889
EMP0133,Diandra Breazeall,02-764-2330,"202 Cedar St, North Haverbrook",17-04-1976,06-05-2023,08:56,19:16,02:40,0,Half Day,15/30,97.52,80103,3445
EMP0134,Prue Phipson,94-441-7638,"123 Elm St, Springfield",16-01-1993,13-07-2022,10:48,20:31,00:02,3,None,18/30,83.38,89458,2496
EMP0135,Daveta Collingdon,16-801-3506,"123 Elm St, Springfield",11-03-1983,02-07-2024,10:11,18:37,01:43,3,None,15/30,54.8,42455,3050
EMP0136,Wait Sabbins,62-029-4348,"101 Pine St, Ogdenville",19-04-1972,07-07-2005,08:34,20:02,02:26,1,Half Day,24/30,57.5,86215,4569
EMP0137,Hobey Gero,87-549-5639,"101 Pine St, Ogdenville",03-06-1972,05-05-2019,09:49,18:35,02:51,5,Half Day,19/30,72.4,89589,4208
EMP0138,Annice Van Oort,92-741-5036,"202 Cedar St, North Haverbrook",26-05-1992,08-03-2016,08:34,17:09,01:50,3,None,16/30,99.04,87472,4647
EMP0139,Nelia Withey,55-854-3804,"789 Maple St, Capital City",26-11-1987,31-08-2024,09:16,16:33,00:07,0,Half Day,26/30,86.8,98527,3406
EMP0140,Emmalynn Doogan,09-997-7416,"456 Oak St, Shelbyville",06-06-1998,25-02-2013,09:07,17:28,00:59,0,Half Day,18/30,64.98,54208,3089
EMP0141,Sergio Boulton,97-542-5454,"123 Elm St, Springfield",25-05-1970,11-08-2018,08:20,19:29,00:37,4,Full Day,29/30,73.37,82522,1029
EMP0142,Marilin Pulteneye,85-049-3914,"456 Oak St, Shelbyville",10-12-1971,06-06-2011,07:48,17:10,01:03,5,Full Day,29/30,87.52,91528,1940
EMP0143,Meier Yockley,25-181-9557,"789 Maple St, Capital City",11-01-1990,15-06-2018,10:20,20:26,02:39,2,None,16/30,82.26,95426,4926
EMP0144,Brocky Lening,29-686-5318,"789 Maple St, Capital City",14-11-1989,13-11-2024,09:04,18:50,00:44,0,None,29/30,60.29,72408,2620
EMP0145,Neila Deddum,29-148-0929,"123 Elm St, Springfield",25-05-1976,01-01-2024,07:03,17:04,00:53,5,None,28/30,56.7,53499,3170
EMP0146,Tandi Reinhardt,92-356-0191,"789 Maple St, Capital City",18-09-1998,02-02-2006,10:56,16:41,00:57,3,Full Day,27/30,85.97,86844,2237
EMP0147,Bobbette Ismirnioglou,69-233-9794,"202 Cedar St, North Haverbrook",09-07-1973,17-02-2021,08:50,18:43,02:43,0,None,15/30,59.93,93679,1152
EMP0148,Emelyne Stollman,27-464-3535,"456 Oak St, Shelbyville",27-10-1998,24-07-2010,07:23,19:37,00:24,3,Half Day,17/30,70.33,43325,4838
EMP0149,Kennie Saby,46-637-3756,"123 Elm St, Springfield",13-05-1972,29-01-2019,07:21,18:51,00:34,0,Half Day,29/30,74.69,95396,4498
EMP0150,Larine McSporrin,81-127-4279,"789 Maple St, Capital City",24-05-1990,07-09-2008,09:38,18:49,01:56,2,Full Day,25/30,98.19,55544,3821
EMP0151,Gordie Zammitt,24-131-2562,"789 Maple St, Capital City",28-01-1993,09-02-2010,08:34,16:33,02:36,0,Half Day,24/30,66.47,41696,3436
EMP0152,Brynn Chander,22-184-3969,"789 Maple St, Capital City",05-07-1973,23-11-2016,09:36,19:09,02:42,4,None,29/30,92.18,59398,2834
EMP0153,Nydia Daveran,95-184-3644,"202 Cedar St, North Haverbrook",14-05-1995,04-07-2014,09:10,16:23,02:54,2,Full Day,19/30,52.58,90563,3859
EMP0154,Emanuel Cooke,63-110-7386,"456 Oak St, Shelbyville",20-05-1981,02-06-2012,08:11,16:33,02:09,5,Full Day,30/30,82.1,65206,2090
EMP0155,Rafaelita Feehery,81-606-5704,"456 Oak St, Shelbyville",11-07-1987,17-02-2008,10:34,20:29,01:32,3,None,24/30,87.52,58587,2451
EMP0156,Cassandra Hubatsch,14-894-1246,"789 Maple St, Capital City",10-01-1998,04-05-2009,09:23,17:43,01:35,3,Full Day,19/30,58.71,74012,3455
EMP0157,Charo Brewett,37-995-1660,"456 Oak St, Shelbyville",14-07-2000,24-01-2010,08:38,19:20,02:45,4,Half Day,21/30,82.68,52792,4573
EMP0158,Coretta Hext,97-987-2269,"101 Pine St, Ogdenville",11-02-1974,20-08-2006,07:11,20:48,00:25,2,Half Day,19/30,79.03,80266,2714
EMP0159,Cinderella Brownill,79-234-3810,"456 Oak St, Shelbyville",07-11-1976,10-04-2017,07:13,20:06,02:31,2,Half Day,20/30,55.26,51964,4077
EMP0160,Fair Vinter,78-866-1899,"789 Maple St, Capital City",19-09-1974,21-02-2006,08:13,16:38,01:57,2,Full Day,16/30,83.15,87283,1427
EMP0161,Georgina Ballister,58-630-0641,"202 Cedar St, North Haverbrook",18-08-1974,14-03-2018,09:21,17:17,01:27,3,Half Day,23/30,62.32,80258,1817
EMP0162,Maurita Bradbury,12-130-5763,"123 Elm St, Springfield",16-10-1987,14-01-2009,09:27,16:29,02:29,0,Half Day,21/30,57.18,85939,4806
EMP0163,Vasili Tappington,02-114-3498,"456 Oak St, Shelbyville",25-01-1971,21-01-2013,10:58,20:33,00:31,4,Full Day,21/30,78.58,71817,2906
EMP0164,Thomasina Sorey,57-849-3215,"101 Pine St, Ogdenville",08-08-1990,01-07-2023,08:29,19:29,02:18,5,Full Day,17/30,73.91,52582,3512
EMP0165,Lena Peregrine,51-456-9794,"123 Elm St, Springfield",13-11-1976,06-03-2005,09:48,19:29,02:47,3,Half Day,25/30,94.95,92958,1841
EMP0166,Julianne Guihen,63-547-2815,"101 Pine St, Ogdenville",22-03-1989,05-05-2020,08:03,19:53,01:52,5,None,27/30,97.36,89934,3412
EMP0167,Mitzi Capitano,25-944-1224,"101 Pine St, Ogdenville",21-03-1976,20-01-2012,07:33,20:42,01:11,1,None,21/30,74.56,69193,3625
